Address,ChildListingUrl,ChildListings,Description,DispensaryName,Email,Facebook,Friday,Instagram,ListingUrl,Listings,Monday,Phone,Saturday,State,StoreUrl,Sunday,Thursday,Tuesday,Twitter,Type,Website,Wednesday,latitude,longitude
,https://weedmaps.com/dispensaries/in/united-states/delaware/dover-de,"Dover, DE",,,,,,,https://weedmaps.com/dispensaries/in/united-states/delaware,Delaware,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/delaware/lewes,Lewes,,,,,,,https://weedmaps.com/dispensaries/in/united-states/delaware,Delaware,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/delaware/middletown,Middletown,,,,,,,https://weedmaps.com/dispensaries/in/united-states/delaware,Delaware,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/delaware/newark-de,"Newark, DE",,,,,,,https://weedmaps.com/dispensaries/in/united-states/delaware,Delaware,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/delaware/wilmington-de,"Wilmington, DE",,,,,,,https://weedmaps.com/dispensaries/in/united-states/delaware,Delaware,,,,United States,,,,,,,,,,
,,,,,,,,,https://weedmaps.com/dispensaries/in/united-states/alabama,Alabama,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/connecticut/bridgeport,Bridgeport,,,,,,,https://weedmaps.com/dispensaries/in/united-states/connecticut,Connecticut,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/connecticut/danbury,Danbury,,,,,,,https://weedmaps.com/dispensaries/in/united-states/connecticut,Connecticut,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/connecticut/hartford,Hartford,,,,,,,https://weedmaps.com/dispensaries/in/united-states/connecticut,Connecticut,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/connecticut/new-britain,New Britain,,,,,,,https://weedmaps.com/dispensaries/in/united-states/connecticut,Connecticut,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/connecticut/new-haven,New Haven,,,,,,,https://weedmaps.com/dispensaries/in/united-states/connecticut,Connecticut,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/connecticut/new-london,New London,,,,,,,https://weedmaps.com/dispensaries/in/united-states/connecticut,Connecticut,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/connecticut/norwalk,Norwalk,,,,,,,https://weedmaps.com/dispensaries/in/united-states/connecticut,Connecticut,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/connecticut/stamford,Stamford,,,,,,,https://weedmaps.com/dispensaries/in/united-states/connecticut,Connecticut,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/connecticut/waterbury,Waterbury,,,,,,,https://weedmaps.com/dispensaries/in/united-states/connecticut,Connecticut,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arkansas/conway,Conway,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arkansas,Arkansas,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arkansas/el-dorado,El Dorado,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arkansas,Arkansas,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arkansas/fayetteville,Fayetteville,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arkansas,Arkansas,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arkansas/fort-smith,Fort Smith,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arkansas,Arkansas,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arkansas/hot-springs-ar,"Hot Springs, AR",,,,,,,https://weedmaps.com/dispensaries/in/united-states/arkansas,Arkansas,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arkansas/jonesboro,Jonesboro,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arkansas,Arkansas,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arkansas/little-rock,Little Rock,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arkansas,Arkansas,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arkansas/north-little-rock,North Little Rock,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arkansas,Arkansas,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arkansas/pine-bluff,Pine Bluff,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arkansas,Arkansas,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arkansas/texarkana,Texarkana,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arkansas,Arkansas,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arkansas/west-memphis,West Memphis,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arkansas,Arkansas,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arizona/apache-county,Apache County,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arizona,Arizona,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arizona/casa-grande-maricopa,Casa Grande / Maricopa,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arizona,Arizona,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arizona/cave-creek,Cave Creek,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arizona,Arizona,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arizona/cochise-county,Cochise County,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arizona,Arizona,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arizona/flagstaff,Flagstaff,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arizona,Arizona,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arizona/gilbert-chandler-mesa,Gilbert / Chandler / Mesa,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arizona,Arizona,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arizona/glendale-peoria,Glendale / Peoria,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arizona,Arizona,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arizona/globe,Globe,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arizona,Arizona,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arizona/lake-havasu-kingman-bullhead-city,Kingman,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arizona,Arizona,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arizona/lake-havasu-parker,Lake Havasu / Parker,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arizona,Arizona,,,,United States,,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/arizona/laughlin-bullhead-city,Laughlin / Bullhead City,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arizona,Arizona,,,,United States,,,,,,,,,,
