Price,ProductName,ProductType,ProductUrl,StoreUrl
,,,https://weedmaps.com/dispensaries/pickup-am-test/menu/kyrptonite,https://weedmaps.com/dispensaries/pickup-am-test
,,,https://weedmaps.com/dispensaries/pickup-am-test/menu/synth-monitor-test-menu-item,https://weedmaps.com/dispensaries/pickup-am-test
,,,https://weedmaps.com/dispensaries/pickup-am-test/menu/synth-monitor-test-menu-item-acb2c324-edd9-45bc-b8f8-23eab5e59d26,https://weedmaps.com/dispensaries/pickup-am-test
,,,https://weedmaps.com/dispensaries/pickup-am-test/menu/romanesco-broccoli,https://weedmaps.com/dispensaries/pickup-am-test
,,,https://weedmaps.com/dispensaries/herbal-outfitters/menu/solstice-dreams-subsistence-products,https://weedmaps.com/dispensaries/herbal-outfitters
,,,https://weedmaps.com/dispensaries/herbal-outfitters/menu/clementine-alaskan-blooms,https://weedmaps.com/dispensaries/herbal-outfitters
,,,https://weedmaps.com/dispensaries/herbal-outfitters/menu/91-chem-dog-x-animal-cookies,https://weedmaps.com/dispensaries/herbal-outfitters
,,,https://weedmaps.com/dispensaries/herbal-outfitters/menu/bird-high-cbd,https://weedmaps.com/dispensaries/herbal-outfitters
,,,https://weedmaps.com/dispensaries/herbal-outfitters/menu/lemon-pound-cake-alaskan-blooms,https://weedmaps.com/dispensaries/herbal-outfitters
,,,https://weedmaps.com/dispensaries/herbal-outfitters/menu/fire-eater-marshmallows,https://weedmaps.com/dispensaries/herbal-outfitters
,,,https://weedmaps.com/dispensaries/herbal-outfitters/menu/grape-leaf-chews-einstein-labs,https://weedmaps.com/dispensaries/herbal-outfitters
,,,https://weedmaps.com/dispensaries/herbal-outfitters/menu/bare-spray,https://weedmaps.com/dispensaries/herbal-outfitters
,,,https://weedmaps.com/dispensaries/herbal-outfitters/menu/mixed-fruit-leaf-chews,https://weedmaps.com/dispensaries/herbal-outfitters
,,,https://weedmaps.com/dispensaries/herbal-outfitters/menu/magical-mist-cinnamon,https://weedmaps.com/dispensaries/herbal-outfitters
,,,https://weedmaps.com/dispensaries/herbal-outfitters/menu/magical-mist-peppermint,https://weedmaps.com/dispensaries/herbal-outfitters
,,,https://weedmaps.com/dispensaries/herbal-outfitters/menu/grease-monkey-alaskan-blooms,https://weedmaps.com/dispensaries/herbal-outfitters
,,,https://weedmaps.com/dispensaries/herbal-outfitters/menu/critical-kush-green-rush-gardens-b9c7c70d-2149-47db-8753-c76bcab9b842,https://weedmaps.com/dispensaries/herbal-outfitters
,,,https://weedmaps.com/dispensaries/herbal-outfitters/menu/pineapple-express-1-2-gram-joint-10-pk-greatland-ganja,https://weedmaps.com/dispensaries/herbal-outfitters
